ID_Indicador	Descripcion	Nota
1001000001	Superficie continental	Periodo de observación de 2002 a 2005.
1001000002	Superficie de agricultura	Periodo de observación de 2002 a 2005.
1001000003	Superficie de pastizal	Periodo de observación de 2002 a 2005.
1001000004	Superficie de bosque	Periodo de observación de 2002 a 2005.
1001000005	Superficie de selva	Periodo de observación de 2002 a 2005.
1001000006	Superficie de matorral xerófilo	Periodo de observación de 2002 a 2005.
1001000007	Superficie de otros tipos de vegetación	Periodo de observación de 2002 a 2005.
1001000008	Superficie de vegetación secundaria	Periodo de observación de 2002 a 2005.
1001000008	Superficie de vegetación secundaria	Comprende la suma de superficies de polígonos clasificados como vegetación secundaria de bosque, selva, matorral  xerófilo, pastizal natural y otros tipos de vegetación en sus distintas fases de desarrollo.
1001000009	Superficie de áreas sin vegetación	Periodo de observación de 2002 a 2005.
1001000010	Superficie de cuerpos de agua	Periodo de observación de 2002 a 2005.
1001000011	Superficie de áreas urbanas	Periodo de observación de 2002 a 2005.
1001000016	Licencias ambientales únicas vigentes	Datos referidos al 31 de diciembre de cada año.
1002000004	Porcentaje de población de 15 a 29 años	Excluye a la población de edad no especificada.
1002000005	Porcentaje de población de 15 a 29 años hombres	Excluye a la población de edad no especificada.
1002000006	Porcentaje de población de 15 a 29 años mujeres	Excluye a la población de edad no especificada.
1002000007	Porcentaje de población de 60 y más años	Excluye a la población de edad no especificada.
1002000008	Porcentaje de población de 60 y más años hombres	Excluye a la población de edad no especificada.
1002000009	Porcentaje de población de 60 y más años mujeres	Excluye a la población de edad no especificada.
1002000010	Edad mediana	Se refiere a la edad expresada en años y que divide a la población en dos partes iguales, esto es, la edad hasta la cual se acumula el 50% de la población total. Para el cálculo se excluye la población con edad no especificada.
1002000011	Edad mediana hombres	Se refiere a la edad expresada en años y que divide a la población en dos partes iguales, esto es, la edad hasta la cual se acumula el 50% de la población total. Para el cálculo se excluye la población con edad no especificada.
1002000012	Edad mediana mujeres	Se refiere a la edad expresada en años y que divide a la población en dos partes iguales, esto es, la edad hasta la cual se acumula el 50% de la población total. Para el cálculo se excluye la población con edad no especificada.
1002000024	Relación hombres-mujeres	Hombres por cada 100 mujeres.
1002000025	Grado de intensidad migratoria hacia Estados Unidos	El grado de intensidad migratoria se clasifica de la siguiente manera: 1.- Nulo, 2.- Muy bajo, 3.- Bajo, 4.- Medio, 5.- Alto y 6.- Muy alto.
1002000026	Nacimientos	La información se presenta por lugar de residencia habitual de la madre.
1002000027	Nacimientos hombres	La información se presenta por lugar de residencia habitual de la madre.
1002000028	Nacimientos mujeres	La información se presenta por lugar de residencia habitual de la madre.
1002000029	Nacimientos de sexo no especificado	La información se presenta por lugar de residencia habitual de la madre.
1002000030	Defunciones generales	La información se presenta por lugar de residencia habitual del fallecido.
1002000031	Defunciones generales hombres	La información se presenta por lugar de residencia habitual del fallecido.
1002000032	Defunciones generales mujeres	La información se presenta por lugar de residencia habitual del fallecido.
1002000033	Defunciones generales de sexo no especificado	La información se presenta por lugar de residencia habitual del fallecido.
1002000034	Defunciones de menores de un año	La información se presenta por lugar de residencia habitual del fallecido.
1002000035	Defunciones de menores de un año hombres	La información se presenta por lugar de residencia habitual del fallecido.
1002000036	Defunciones de menores de un año mujeres	La información se presenta por lugar de residencia habitual del fallecido.
1002000037	Defunciones de menores de un año de sexo no especificado	La información se presenta por lugar de residencia habitual del fallecido.
1002000038	Matrimonios	La información se presenta por lugar de registro.
1002000039	Divorcios	La información se presenta por lugar de registro.
1002000048	Grado de desarrollo humano	El grado de desarrollo humano se clasifica de la siguiente manera: 1.- Bajo, 2.- Medio bajo, 3.- Medio alto y 4.- Alto.
1002000054	Porcentaje de la población que utiliza carbón o leña como combustible para cocinar	Excluye a los ocupantes en viviendas donde no se especificó el tipo de combustible utilizado.
1003000001	Total de viviendas particulares habitadas	Viviendas particulares habitadas de cualquier clase: casa independiente, departamento en edificio, vivienda o cuarto en vecindad, vivienda o cuarto de azotea, local no construido para habitación, vivienda móvil, refugios y clase no especificada.
Incluye a las viviendas particulares sin información de ocupantes.
1003000002	Ocupantes en viviendas particulares	Comprende ocupantes en viviendas de: casa independiente, departamento en edificio, vivienda en vecindad, vivienda en cuarto de azotea, local no construido para habitación, vivienda móvil, refugio y ocupantes en viviendas particulares de clase no especificada.
1003000011	Viviendas particulares habitadas	Excluye viviendas móviles, refugios y locales no construidos para habitación debido a que no se captaron características de estas clases de vivienda.
Excluye las viviendas sin información de ocupantes.
1003000016	Viviendas particulares habitadas con piso diferente de tierra	Excluye viviendas sin información de ocupantes.
1003000016	Viviendas particulares habitadas con piso diferente de tierra	Se refiere a viviendas con piso de cemento, firme, madera, mosaico u otro material. Excluye viviendas donde no se especificó el material predominante en pisos.
1003000016	Viviendas particulares habitadas con piso diferente de tierra	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000017	Viviendas particulares habitadas que disponen de energía eléctrica	Excluye viviendas sin información de ocupantes.
